prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
1177;1;GTO;4;GJ 436b EMIS;transit;GJ 436;1796;175.5527342;26.70128073;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1177;1;GTO;5;GJ 436b EMIS;transit;GJ 436;1796;175.5528793;26.70116295;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1177;1;GTO;6;HAT-P-26 b TRANS;transit;HAT-P-26;5632;213.1566344;4.059101442;11.4641;9.581;5079;HAT-P-26 b;4.23452;7.062;0.63;1044;;;
1177;1;GTO;7;TRAPPIST-1 b Sec Eclipse;eclipse;TRAPPIST-1;;346.6283009;-5.044440304;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1177;1;GTO;8;TRAPPIST-1 b Sec Eclipse;eclipse;TRAPPIST-1;;346.6283095;-5.044444711;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1177;1;GTO;9;TRAPPIST-1 b Sec Eclipse;eclipse;TRAPPIST-1;;346.6283127;-5.044446368;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1177;1;GTO;10;TRAPPIST-1 b Sec Eclipse;eclipse;TRAPPIST-1;;346.6283191;-5.044449674;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1177;1;GTO;11;TRAPPIST-1 b Sec Eclipse;eclipse;TRAPPIST-1;;346.6283041;-5.044441956;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1177;1;GTO;3;WASP-69 b EMIS;eclipse;WASP-69;5823;315.0260398;-5.095061675;9.48466;7.459;4700;WASP-69 b;3.86814;12.442;1.11;988;;;
1177;1;GTO;1;WASP-80b TRANS;transit;WASP-80;5801;303.1665328;-2.144537387;11.273;8.351;4143;WASP-80 b;3.06785234;11.198;0.999;827;;;
1177;1;GTO;2;WASP-80b EMIS;eclipse;WASP-80;5801;303.1665326;-2.144537446;11.273;8.351;4143;WASP-80 b;3.06785234;11.198;0.999;827;;;
1185;1;GTO;18;G395H transit;transit;GJ 1214;;258.8327004;4.959003954;13.0089;8.782;3250;GJ 1214 b;1.58040433;2.742;0.245;588;;;
1185;1;GTO;19;G395H transit;transit;GJ 1214;;258.8327011;4.959003052;13.0089;8.782;3250;GJ 1214 b;1.58040433;2.742;0.245;588;;;
1185;1;GTO;16;F322W2 Transit;transit;GJ 3470;5094;119.7731097;15.3910917;11.3537;7.989;3600;GJ 3470 b;3.3366496;4.57;0.408;683;;;
1185;1;GTO;17;F444W Transit;transit;GJ 3470;5094;119.7731092;15.39109155;11.3537;7.989;3600;GJ 3470 b;3.3366496;4.57;0.408;683;;;
1185;1;GTO;10;HD;transit;GJ 436;1796;175.5526355;26.70136089;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1185;1;GTO;11;F444W Sec Eclipse;transit;GJ 436;1796;175.5526315;26.70136416;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1185;1;GTO;12;F322W2 Sec Eclipse;transit;GJ 436;1796;175.5506801;26.69949922;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1185;1;GTO;13;F444W Sec Eclipse;transit;GJ 436;1796;175.5526234;26.7013707;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1185;1;GTO;14;F322W2 Sec Eclipse;transit;GJ 436;1796;175.5528934;26.7011515;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1185;1;GTO;15;F444W Sec Eclipse;transit;GJ 436;1796;175.5528833;26.70115968;9.57148;6.073;3586.11;GJ 436 b;2.64388312;4.17;0.372;688;;;
1185;1;GTO;1;F444W Sec Eclipse;eclipse;HD 189733;4470;300.1821149;22.70927159;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1185;1;GTO;8;F322W2 Transit;transit;WASP-107;1905;188.386222;-10.14623374;11.174;8.637;4425;WASP-107 b;5.7214742;10.536;0.94;745;;;
1185;1;GTO;9;F444W Transit;transit;WASP-107;1905;188.3862091;-10.14623498;11.174;8.637;4425;WASP-107 b;5.7214742;10.536;0.94;745;;;
