Period;Radius
2.64388312;4.17
2.64388312;4.17
4.23452;7.062
1.510826;1.116
1.510826;1.116
1.510826;1.116
1.510826;1.116
1.510826;1.116
3.86814;12.442
3.06785234;11.198
3.06785234;11.198
1.58040433;2.742
1.58040433;2.742
3.3366496;4.57
3.3366496;4.57
2.64388312;4.17
2.64388312;4.17
2.64388312;4.17
2.64388312;4.17
2.64388312;4.17
2.64388312;4.17
2.21857567;12.666
5.7214742;10.536
5.7214742;10.536
3.86814;12.442
3.86814;12.442
3.06785234;11.198
3.06785234;11.198
3.06785234;11.198
3.06785234;11.198
3.3366496;4.57
3.9306;1.2
4.46529976;14.785
4.46529976;14.785
3.6906745;1.34
7.450729;1.58
4.9899093;2.438
0.792052;4.72
9.20754;1.045
9.20754;1.045
9.20754;1.045
9.20754;1.045
9.20754;1.045
4.049219;0.788
4.049219;0.788
5.7214742;10.536
5.7214742;10.536
1.27492504;19.649
4.17806203;14.695
1.7497798;14.24
3.06785234;11.198
7.450729;1.58
5.7214742;10.536
0.813475;10.424
1.7497798;14.24
1.628931;1.13
2.87589;8.295
2.87589;8.295
2.21857567;12.666
3.52474859;15.581
3.52474859;15.581
0.78883852;15.861
1.36002854;13.787
1.510826;1.116
1.510826;1.116
1.510826;1.116
1.510826;1.116
1.510826;1.116
5.7214742;10.536
3.2130598;10.749
3.2130598;10.749
3.2130598;10.749
4.23452;7.062
4.23452;7.062
4.23452;7.062
4.23452;7.062
6.101013;0.92
6.101013;0.92
6.101013;0.92
6.101013;0.92
3.73543;20.961
3.73543;20.961
3.73543;20.961
3.73543;20.961
3.73543;20.961
3.73543;20.961
3.73543;20.961
0.94145223;13.899
4.055259;14.235
4.055259;14.235
4.055259;14.235
4.055259;14.235
0.813475;10.424
2.21857567;12.666
2.21857567;12.666
2.21857567;12.666
2.21857567;12.666
2.21857567;12.666
1.27492504;19.649
1.467119;1.305
1.467119;1.305
1.58040433;2.742
0.46292913;1.303
0.46292913;1.303
0.46292913;1.303
5.19672;2.68
5.19672;2.68
0.7365474;1.875
0.7365474;1.875
1.628931;1.13
1.628931;1.13
1.628931;1.13
1.467119;1.305
1.467119;1.305
7.5768707;0
7.5768707;0
7.5768707;0
2.029088;0.991
2.029088;0.991
18.772866;0.755
18.772866;0.755
18.772866;0.755
2.21857567;12.666
111.4367;11.994
2.21857567;12.666
2.21857567;12.666
2.21857567;12.666
3.3448285;20.288
5.44354;7.062
5.44354;7.062
0.7365474;1.875
0.7365474;1.875
0.7365474;1.875
0.7365474;1.875
4.37808;15.805
24.1396;10.27
0.7668944;13.507
0.2803244;1.51
2.421937;1.097
2.421937;1.097
2.421937;1.097
2.421937;1.097
6.5577;2.572
1.914558;1.152
20.7095;2.87
24.73694;1.635
24.73694;1.635
0.2803244;1.51
1.4079405;10.4
32.939623;2.37
32.939623;2.37
32.939623;2.37
32.939623;2.37
32.939623;2.37
32.939623;2.37
2.421937;1.097
2.421937;1.097
2.421937;1.097
2.421937;1.097
4.17806203;14.695
45.154;7.1
111.4367;11.994
6.959503;10.07
1.4079405;10.4
0.3219225;0.699
3.9306;1.2
4.75615;1.64
17.1784;2.39
17.1784;2.39
1.4015;1.39
1.4015;1.39
1.4015;1.39
3.6906745;1.34
3.6906745;1.34
5.35876;1.18
13.4759;0
13.4759;0
15.6653;2.02
15.6653;2.02
8.24661;1.85
8.24661;1.85
8.59545;2.587
3.81673;1.704
3.81673;1.704
130.194;9.7
1.510826;1.116
1.510826;1.116
2.421937;1.097
2.421937;1.097
12.352446;1.129
12.352446;1.129
7.3279474;8.097
3.52474859;15.581
5.35876;1.18
5.35876;1.18
5.35876;1.18
32.939623;2.37
32.939623;2.37
32.939623;2.37
11.379573;2.133
4.055259;14.235
4.46529976;14.785
4.88780244;4.36
21.05704;4.35
1.27492504;19.649
1.510826;1.116
1.510826;1.116
3.3252725;11.187
3.3252725;11.187
2.7886556;9.909
2.7886556;9.909
2.7886556;9.909
2.154849;11.321
2.154849;11.321
2.154849;11.321
3.438753;12
3.438753;12
4.353326;7.9
4.353326;7.9
4.353326;7.9
1.630757;11.6
1.630757;11.6
1.630757;11.6
2.930289;11.9
2.930289;11.9
0.792052;4.72
282.5255;10.12
0.6691406;1.7
2.724033;18.147
0.381073;2.3
0.381073;2.3
0.381073;2.3
8.350231;13.32
4.07445;3.56
8.350231;13.32
4.07445;3.56
12.252196;2.33
12.252196;2.33
12.252196;2.33
24.245586;3.65
24.245586;3.65
24.245586;3.65
15.532482;2.064
15.532482;2.064
15.532482;2.064
11.379573;2.133
0.7895933;1.808
0.7895933;1.808
3.86814;12.442
3.86814;12.442
1.1980035;1.264
1.1980035;1.264
1.1980035;1.264
1.1980035;1.264
3.9306;1.2
2.76953;1.24
2.76953;1.24
3.6906745;1.34
3.77792;1.169
3.77792;1.169
3.77792;1.169
1.9495378;1.242
1.9495378;1.242
0.76837883;1.32
0.76837883;1.32
1.8805136;1.28
1.8805136;1.28
1.8805136;1.28
3.3601538;1.206
3.3601538;1.206
3.3601538;1.206
3.3601538;1.206
2.59261842;11.4
0.3711281;1.25
2.8106;16.141
2.73477;17.934
4.511164;17.878
3.55395;18.046
3.7521;15.805
0.4465688;1.425
2.2531136;0.85
2.2531136;0.85
2.2531136;0.85
2.2531136;0.85
2.60544751;18.058
2.60544751;18.058
4.4379629;19.661
4.4379629;19.661
1.7497798;14.24
0.46292913;1.303
3.4252602;13.45
2.8531054;2.13
2.8531054;2.13
2.8531054;2.13
2.8531054;2.13
6.20147;2.022
6.20147;2.022
6.20147;2.022
6.20147;2.022
7.450729;1.58
7.450729;1.58
0.6691406;1.7
0.6691406;1.7
11.379573;2.133
11.379573;2.133
11.379573;2.133
1.392978;2.926
1.392978;2.926
4.88780244;4.36
4.88780244;4.36
4.65382;2.726
9.15059;2.759
0.6691406;1.7
0.6691406;1.7
0.6691406;1.7
0.6691406;1.7
29.02;12.89
3.3366496;4.57
16.3152;13.25049334
16.3152;13.25049334
1.2089819;1.577
0.926118;1.72
0.959641;1.67
0.6047328;1.791
1.0697568;1.62
0.4090677;1.17
0.549372;1.258
0.490047;1.28
0.548177;1.166
0.4465688;1.425
0.9263237;1.331
0.9263237;1.331
0.9263237;1.331
0.925542;17.127
104.854;9.079
2.421937;1.097
2.421937;1.097
2.421937;1.097
2.421937;1.097
1.809886;20.512
8.4629991;3.957
8.4629991;3.957
8.4629991;3.957
8.4629991;3.957
1071.23205;10.16
4.055259;14.235
3.24406;18.159
3.24406;18.159
4.5445697;6
4.5445697;6
4.5445697;6
5.508023;11.153
5.508023;11.153
4.5445697;6
4.5445697;6
4.5445697;6
4.5445697;6
1.467119;1.305
1.467119;1.305
1.467119;1.305
12.4032;6.41
12.4032;6.41
1.348335;3.02
5.414654;5.93
14.70886;6.18
4.46529976;14.785
4.88780244;4.36
5.508023;11.153
2.8106;16.141
7.3279474;8.097
2.73477;17.934
4.511164;17.878
1.09142;21.712
0.78883852;15.861
3.36101;11.545
4.37808;15.805
3.86814;12.442
1.809886;20.512
1.809886;20.512
3.06785234;11.198
3.95019;17.71
10.35509;2.518
10.35509;2.518
21.01538;3.497
21.01538;3.497
35.12537;3.232
35.12537;3.232
